,str_date,amer_nasdaq_stock,amer_dji_stock,local_stock,euro_stock,japa_stock,hk_stock,gold,oil,cpi,gdp,soci_financing,bank_rate,index_close,index_amp,index_percend,index_updown,index_amount,index_count,index_hight,index_low,index_before
0,2020-12-12,12377.87,30046.37,3347.191,6546.75,26652.52,26505.87,1843.5,49.95,100.5,104.9,1420,1.5,3347.191,1.7195836759034058,-0.77,-26.0848,2986171.0,37984880.0,3383.1783,3325.172,3373.2758
1,2020-12-13,12377.87,30046.37,3347.191,6546.75,26652.52,26505.87,1843.5,49.91,100.5,104.9,1420,1.5,3347.191,1.7195836759034058,-0.77,-26.0848,2986171.0,37984880.0,3383.1783,3325.172,3373.2758
2,2020-12-14,12377.87,30046.37,3347.191,6546.75,26652.52,26505.87,1843.5,49.91,100.5,104.9,1420,1.5,3347.191,1.7195836759034058,-0.77,-26.0848,2986171.0,37984880.0,3383.1783,3325.172,3373.2758
3,2020-12-15,12440.04,29861.55,3369.1201,6531.83,26732.44,26389.52,1830.0,50.32,100.5,104.9,1420,1.5,3369.1201,0.97104706603239,0.66,21.9291,2398079.0,31622913.0,3371.1291,3338.6263,3347.191
4,2020-12-16,12595.06,30199.31,3367.2326,6513.32,26687.84,26207.29,1857.2,50.72,100.5,104.9,1420,1.5,3367.2326,0.7461503079097707,-0.06,-1.8875,2256674.0,31528974.0,3373.5579,3348.4192,3369.1201
5,2020-12-17,12658.19,30154.54,3366.9832,6570.91,26757.4,26460.29,1868.7,51.06,100.5,104.9,1420,1.5,3366.9832,0.5788759588511925,-0.01,-0.2494,2208139.0,30882339.0,3378.6626,3359.1705,3367.2326
6,2020-12-18,12764.75,30303.37,3404.8732,6551.06,26806.67,26678.38,1890.8,51.46,100.5,104.9,1420,1.5,3404.8732,1.5486712259211786,1.13,37.89,2754636.0,36474048.0,3406.1547,3354.0112,3366.9832
7,2020-12-20,12755.64,30179.05,3394.8959999999997,6529.18,26763.39,26498.6,1886.8,52.3,100.5,104.9,1420,1.5,3394.8959999999997,0.91229829057952,-0.29,-9.9772,2809926.0,35402738.0,3413.8134,3382.7508,3404.8732
8,2020-12-21,12755.64,30179.05,3394.896,6529.18,26763.39,26498.6,1886.7,52.3,100.5,104.9,1420,1.5,3394.896,0.91229829057952,-0.29,-9.9772,2809926.0,35402738.0,3413.8134,3382.7508,3404.8732
9,2020-12-22,12742.52,30216.45,3420.5693,6416.32,26714.42,26306.68,1881.7,50.83,100.5,104.9,1420,1.5,3420.5693,1.2516730998534251,0.76,25.6733,2837597.0,38389895.0,3423.6088,3381.1158,3394.8959999999997
10,2020-12-23,12807.92,30015.51,3356.7822,6453.16,26436.39,26119.25,1864.4,49.9,100.5,104.9,1420,1.5,3356.7822,1.8095145740798184,-1.86,-63.7871,3230376.0,43219956.0,3415.7538,3353.8581,3420.5693
11,2020-12-24,12771.11,30129.83,3382.3195,6495.75,26524.79,26343.1,1876.9,51.15,100.5,104.9,1420,1.5,3382.3195,1.0130833034088438,0.76,25.5373,2995235.0,41325478.0,3394.2089,3360.2019,3356.7822
12,2020-12-25,12804.73,30199.87,3363.1133,6502.11,26668.35,26386.56,1882.6,51.35,100.5,104.9,1420,1.5,3363.1133,1.1841903167338297,-0.57,-19.2062,2750444.0,36332114.0,3394.0746,3354.0215,3382.3195
13,2020-12-26,12804.73,30199.87,3396.5626,6502.11,26656.61,26386.56,1882.6,51.35,100.5,104.9,1420,1.5,3396.5626,1.4469122999810982,0.99,33.4493,2945468.0,35909444.0,3397.0066,3348.3453,3363.1133
14,2020-12-27,12804.73,30199.87,3396.5626,6502.11,26656.61,26386.56,1882.6,51.35,100.5,104.9,1420,1.5,3396.5626,1.4469122999810982,0.99,33.4493,2945468.0,35909444.0,3397.0066,3348.3453,3363.1133
15,2020-12-28,12804.73,30199.87,3396.5626,6502.11,26656.61,26386.56,1865.4,51.35,100.5,104.9,1420,1.5,3396.5626,1.4469122999810982,0.99,33.4493,2945468.0,35909444.0,3397.0066,3348.3453,3363.1133
16,2020-12-29,12899.42,30403.97,3397.2854,6502.11,26854.03,26314.63,1876.9,50.95,100.5,104.9,1420,1.5,3397.2854,0.8498385985878762,0.02,0.7228,3161815.0,39815997.0,3412.5193,3383.6540000000005,3396.5626
17,2020-12-30,12850.22,30335.67,3379.0362,6602.65,27568.15,26568.49,1882.4,51.3,100.5,104.9,1420,1.5,3379.0362,0.9125167994422916,-0.54,-18.2492,3117691.0,38210256.0,3407.0884,3376.0876,3397.2854
18,2020-12-31,12870.0,30409.56,3414.4527,6555.82,27444.17,27147.11,1898.6,51.47,100.5,104.9,1420,1.5,3414.4527,1.1849029613828987,1.05,35.4165,2910235.0,37754235.0,3414.4539,3374.4156,3379.0362
19,2021-01-02,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
20,2021-01-03,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
21,2021-01-04,12888.28,30606.48,3473.0693,6460.52,27444.17,27231.13,1901.3,51.71,100.5,104.9,1420,1.5,3473.0693,1.6164083924782413,1.72,58.6166,3356739.0,45048232.0,3474.9182,3419.7267,3414.4527
22,2021-01-05,12698.45,30223.89,3502.9584,6571.88,27258.38,27472.81,1946.7,50.74,100.5,104.9,1420,1.5,3502.9584,1.5677573724198428,0.86,29.8891,3807908.0,52336770.0,3511.6554,3457.2061,3473.0693
23,2021-01-06,12818.96,30391.6,3528.6767,6612.25,27172.67,27649.859,1953.4,53.75,99.5,104.9,1420,1.5,3528.6767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.6767
24,2021-01-07,12740.79,30829.4,3550.8767,6841.86,27055.94,27692.3,1920.5,54.19,99.5,104.9,1420,1.5,3550.8767,1.237744449640284,0.63,22.2,3702309.0,52179953.0,3556.8022,3513.1262,3528.6767
25,2021-01-10,13201.98,31097.97,3570.1082,6873.26,28139.03,27878.22,1848.1,56.25,99.5,104.9,1420,1.5,3570.1082,1.2071820499308117,-0.17,-6.0964,3455578.0,50217082.0,3588.0625,3544.8912,3576.2046
26,2021-01-11,13201.98,31097.97,3570.1082,6873.26,28139.03,27878.22,1846.0,56.25,99.5,104.9,1420,1.5,3570.1082,1.2071820499308117,-0.17,-6.0964,3455578.0,50217082.0,3588.0625,3544.8912,3576.2046
27,2021-01-12,13036.43,31008.69,3531.4978,6798.48,28139.03,27908.22,1843.4,55.57,99.5,104.9,1420,1.5,3531.4978,2.260883857805776,-1.08,-38.6104,3624791.0,52689593.0,3597.7022,3516.9862,3570.1082
28,2021-01-13,13072.43,31068.69,3608.3389,6754.11,28164.34,28276.75,1854.7,56.74,99.5,104.9,1420,1.50,3608.3389,2.573129169158773,2.18,76.8411,3234061.0,48577119.0,3608.3389,3517.4689,3531.4978
